tender_id,state,department,winning_supplier,award_value,estimated_value,number_of_bidders,contract_duration,flags_str,prelim_risk_score,risk_stratum,value_bucket,source_dataset
2017_MC_17725_4,HIMACHAL PRADESH,EXECUTIVE ENGINEER,AKASH SAINI,4790097.0,3450000.0,3,8.729166666666666,"RF-3, RF-5, RF-6",55,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
CEN-CE-2021-01206,CENTRAL,CENTRAL PUBLIC WORKS DEPARTMENT,KNR CONSTRUCTION,52384734.08,59528106.91,3,6.0,"RF-4, RF-6",30,HIGH_RISK,MEGA (>5Cr),CENTRAL_CPPP
2018_HPIPH_20881_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,ASHWANI KUMAR,980624.0,1278855.0,9,6.875,"RF-4, RF-6",30,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2017_PWD_16725_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,KAMAL THAKUR,20042633.0,13129986.0,2,21.041666666666668,"RF-5, RF-6",35,HIGH_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
2017_UDDHP_18182_1,HIMACHAL PRADESH,EXECUTIVE OFFICER MC SOLAN,PARMINDER DHIMAN,601710.0,300000.0,3,6.333333333333333,"RF-4, RF-5, RF-6",50,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
CEN-CE-2021-01289,CENTRAL,CENTRAL PUBLIC WORKS DEPARTMENT,SHREE BALAJI ENTERPRISE,4694534.15,4602484.46,1,14.0,"RF-1, RF-3, RF-6",60,HIGH_RISK,MEDIUM (10L-50L),CENTRAL_CPPP
2017_UDDHP_15567_1,HIMACHAL PRADESH,EXECUTIVE OFFICER MC SOLAN,NAIN SINGH,351816.0,196424.0,3,8.083333333333334,"RF-5, RF-6",35,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2017_PWD_17350_3,HIMACHAL PRADESH,EXECUTIVE ENGINEER HIMACHAL PRADESH PUBLIC WORKS DEPARTMENT DIVISION SANGRAH,JAGAT SINGH,1494493.0,1546590.0,2,19.916666666666668,NONE,0,LOW_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2020_HPIPH_34568_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,PUNJAB IRRIGATION AND FARM SOLUTIONS,106563241.0,92712104.0,4,13.25,NONE,0,LOW_RISK,MEGA (>5Cr),HIMACHAL_PRADESH
2018_PWD_19648_10-945,HIMACHAL PRADESH,EXECUTIVE ENGINEER CHAMBA DIVISION HIMACHAL PRADESH PUBLIC WORKS DEPARTMENT CHAMBA,DES RAJ AND COMPANY,2891768.0,2190859.0,2,18.041666666666668,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
CEN-CE-2021-01042,CENTRAL,NHAI HIGHWAYS,SHARMA ENGINEERING WORKS,5646570.65,4910061.44,1,21.0,"RF-1, RF-6",40,HIGH_RISK,LARGE (50L-5Cr),CENTRAL_CPPP
2017_PWD_14982_11,HIMACHAL PRADESH,EXECUTIVE ENGINEER,D S THAKUR,2044708.0,1721381.0,1,21.041666666666668,"RF-1, RF-6",40,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_PWD_15556_3,HIMACHAL PRADESH,EXECUTIVE ENGINEER JUBBAL,RAVINDER CHAUHAN,2727663.0,2233010.0,1,11.114583333333334,"RF-1, RF-6",40,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_PWD_16759_2,HIMACHAL PRADESH,EXECUTIVE ENGINEER CHAMBA DIVISION HIMACHAL PRADESH PUBLIC WORKS DEPARTMENT CHAMBA,GOVERNMENT CONTRACTOR,1230880.0,826860.0,3,19.70833333333333,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2019_HPIPH_27040_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER MANDI,GULZARI LAL,1105068.0,1035315.0,2,12.975694444444445,NONE,0,LOW_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_PWD_16854_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,NISHA KUMARI,652510.0,587500.0,2,14.666666666666666,RF-6,15,MEDIUM_RISK,SMALL (<10L),HIMACHAL_PRADESH
MAH-MA-2021-01105,MAHARASHTRA,MSEDCL POWER DISTRIBUTION,NCC LIMITED INFRASTRUCTURE,73460810.33,54415415.06,2,6.0,"RF-4, RF-5, RF-6",50,HIGH_RISK,MEGA (>5Cr),MAHARASHTRA
RAJ-RA-2021-01091,RAJASTHAN,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,AHLUWALIA CONTRACTS INDIA LIMITED,8212063.08,7603762.11,2,14.0,RF-6,15,MEDIUM_RISK,LARGE (50L-5Cr),RAJASTHAN
CEN-CE-2021-01332,CENTRAL,CENTRAL PUBLIC WORKS DEPARTMENT,ZENITH INFRASTRUCTURE PROJECTS,6737053.36,4990409.9,3,4.0,"RF-4, RF-5, RF-6",50,HIGH_RISK,LARGE (50L-5Cr),CENTRAL_CPPP
KAR-KA-2021-01123,KARNATAKA,BRUHAT BENGALURU MAHANAGARA PALIKE BBMP,SHARMA ENGINEERING WORKS,7027687.8,7986008.86,4,4.0,"RF-4, RF-6",30,HIGH_RISK,LARGE (50L-5Cr),KARNATAKA
UTT-UT-2021-01088,UTTAR PRADESH,UTTAR PRADESH PUBLIC WORKS DEPARTMENT,BHARAT DIAGNOSTIC SYSTEMS,10088855.17,9341532.57,3,6.0,"RF-4, RF-6",30,HIGH_RISK,LARGE (50L-5Cr),UTTAR_PRADESH
KAR-KA-2021-01097,KARNATAKA,KARNATAKA PUBLIC WORKS PORTS INLAND WATER,AHLUWALIA CONTRACTS INDIA LIMITED,345037737.38,255583509.17,1,14.0,"RF-1, RF-5, RF-6",60,HIGH_RISK,MEGA (>5Cr),KARNATAKA
2017_UDDHP_15249_1,HIMACHAL PRADESH,EXECUTIVE OFFICER MC SOLAN,GURU DEV SINGH,602880.0,354802.0,3,7.0625,"RF-5, RF-6",35,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2018_HPIPH_24330_1-2099,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION BARSAR,SUNIL VERMA,2799214.23,2029579.0,4,9.916666666666666,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2019_HPIPH_31482_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,DOGRA CONSTRUCTION COMPANY PRIVATE LIMITED,5074502.0,3035671.0,5,14.75,"RF-5, RF-6",35,HIGH_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
RAJ-RA-2021-01065,RAJASTHAN,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,SHREE BALAJI ENTERPRISE,16342379.72,18570886.04,1,30.0,"RF-1, RF-6",40,HIGH_RISK,LARGE (50L-5Cr),RAJASTHAN
2017_PWD_15616_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER PUBLIC WORKS DEPARTMENT PAONTA SAHIB,S S ASSOCIATES,2579577.0,2355273.0,1,21.14583333333333,"RF-1, RF-6",40,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2019_HPIPH_27732_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION THURAL,DOGRA CONSTRUCTION COMPANY PRIVATE LIMITED,22584581.31,17038843.0,3,12.0,RF-5,20,MEDIUM_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
KAR-KA-2021-01203,KARNATAKA,KARNATAKA RURAL INFRASTRUCTURE,AFCONS INFRASTRUCTURE LIMITED,3023939.02,2964646.1,1,4.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,MEDIUM (10L-50L),KARNATAKA
RAJ-RA-2021-01205,RAJASTHAN,RAJASTHAN PUBLIC WORKS DEPARTMENT,AHLUWALIA CONTRACTS INDIA LIMITED,2986234.0,2212025.19,5,6.0,"RF-4, RF-5, RF-6",50,HIGH_RISK,MEDIUM (10L-50L),RAJASTHAN
2018_MC_22410_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,SURENDAR HANSRETTA,1118707.0,902006.0,4,15.75,RF-6,15,MEDIUM_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
KAR-KA-2021-01205,KARNATAKA,KARNATAKA RURAL INFRASTRUCTURE,SHREE BALAJI ENTERPRISE,1176090.1,871177.86,2,21.0,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),KARNATAKA
2018_HPIPH_22260_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION NO 1 UNA HP,OM PARKASH GOVT CONTRATOR,503823.0,653753.0,7,21.08333333333333,NONE,0,LOW_RISK,SMALL (<10L),HIMACHAL_PRADESH
2018_HPIPH_22738_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,VIJAY KUMAR C O VASUDEVA ELECTRICALS,1540000.0,652500.0,6,17.791666666666668,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2020_HPIPH_35637_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,PAWAN KUMAR,3974845.0,2837977.0,3,14.75,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
CEN-CE-2021-01262,CENTRAL,NHAI HIGHWAYS,NCC LIMITED INFRASTRUCTURE,102059113.26,75599343.15,3,14.0,"RF-5, RF-6",35,HIGH_RISK,MEGA (>5Cr),CENTRAL_CPPP
2017_PWD_17327_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,D S THAKUR,1227797.0,906098.0,4,21.041666666666668,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_PWD_17482_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,LEKH RAM,2229971.0,1991540.0,7,20.875,NONE,0,LOW_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
MAH-MA-2021-01267,MAHARASHTRA,PUBLIC HEALTH DEPT MUMBAI,TATA PROJECTS LIMITED,1803242.79,1568037.21,4,30.0,RF-6,15,MEDIUM_RISK,MEDIUM (10L-50L),MAHARASHTRA
MAH-MA-2021-01118,MAHARASHTRA,WATER RESOURCES DEPARTMENT MAHARASHTRA,TATA PROJECTS LIMITED,144265170.64,163937693.91,2,4.0,"RF-4, RF-6",30,HIGH_RISK,MEGA (>5Cr),MAHARASHTRA
RAJ-RA-2021-01105,RAJASTHAN,MEDICAL HEALTH SERVICES JAIPUR,KNR CONSTRUCTION,2505849.69,2320231.19,1,6.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,MEDIUM (10L-50L),RAJASTHAN
MAH-MA-2021-01158,MAHARASHTRA,MMRDA URBAN TRANSPORT,SHARMA ENGINEERING WORKS,6684942.63,4951809.35,5,6.0,"RF-4, RF-5",35,HIGH_RISK,LARGE (50L-5Cr),MAHARASHTRA
CEN-CE-2021-01057,CENTRAL,DEFENCE RESEARCH DEVELOPMENT ORG,DILIP BUILDCON LIMITED,7924230.94,7337250.87,8,6.0,"RF-4, RF-6",30,HIGH_RISK,LARGE (50L-5Cr),CENTRAL_CPPP
2017_UDDHP_16127_1,HIMACHAL PRADESH,EXECUTIVE OFFICER MC SOLAN,SUBHASH CHAND RANA,231754.0,126376.0,3,5.166666666666667,"RF-4, RF-5, RF-6",50,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2018_UDDHP_21954_1,HIMACHAL PRADESH,EXECUTIVE OFFICER,TARGET GREEN PLANET,39.0,39.0,3,20.33333333333333,NONE,0,LOW_RISK,SMALL (<10L),HIMACHAL_PRADESH
KAR-KA-2021-01156,KARNATAKA,KARNATAKA RURAL INFRASTRUCTURE,DILIP BUILDCON LIMITED,192566457.72,178302275.67,1,4.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,MEGA (>5Cr),KARNATAKA
UTT-UT-2021-01100,UTTAR PRADESH,NOIDA INDUSTRIAL DEVELOPMENT AUTH,LARSEN AND TOUBRO CONSTRUCTION,4388750.12,4987216.04,1,6.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,MEDIUM (10L-50L),UTTAR_PRADESH
2018_PWD_20190_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER KARSOG,MOHAN SINGH NEGI GOVT CONT,10349981.02,5816997.0,2,6.041666666666667,"RF-4, RF-5",35,HIGH_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
2017_PWD_16971_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER ELECT DIVN NO II,NITIN KRATE,2629020.0,2341212.0,4,18.979166666666668,NONE,0,LOW_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
RAJ-RA-2021-01017,RAJASTHAN,JAIPUR DEVELOPMENT AUTHORITY,SHREE BALAJI ENTERPRISE,18185981.26,15813896.75,2,6.0,"RF-4, RF-6",30,HIGH_RISK,LARGE (50L-5Cr),RAJASTHAN
2018_PWD_19844_5,HIMACHAL PRADESH,EXECUTIVE ENGINEER PUBLIC WORKS DEPARTMENT PAONTA SAHIB,S S ASSOCIATES,2515704.0,1904815.0,2,20.0,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_HPIPH_17632_1-772,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION BARSAR,VINAY KUMAR SHARDA,288308.0,387483.0,6,6.9375,"RF-4, RF-6",30,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
CEN-CE-2021-01066,CENTRAL,INDIAN RAILWAYS,AHLUWALIA CONTRACTS INDIA LIMITED,135934431.54,100692171.51,3,21.0,"RF-5, RF-6",35,HIGH_RISK,MEGA (>5Cr),CENTRAL_CPPP
CEN-CE-2021-01224,CENTRAL,MINISTRY OF HEALTH FAMILY WELFARE,BHARAT DIAGNOSTIC SYSTEMS,15007435.85,17053904.37,5,6.0,"RF-4, RF-6",30,HIGH_RISK,LARGE (50L-5Cr),CENTRAL_CPPP
2017_PWD_15803_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER PUBLIC WORKS DEPARTMENT DIVISION FATEHPUR,V S SAINI,1335258.0,1348060.0,3,29.27083333333333,RF-6,15,MEDIUM_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2019_HPIPH_32629_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,DEVINDER THAKUR,3482160.0,2899014.0,6,19.83333333333333,NONE,0,LOW_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
MAH-MA-2021-01140,MAHARASHTRA,MMRDA URBAN TRANSPORT,PNC INFRATECH LIMITED,378405621.72,280300460.53,1,14.0,"RF-1, RF-5, RF-6",60,HIGH_RISK,MEGA (>5Cr),MAHARASHTRA
2017_HPIPH_17745_1-466,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION BA,SHARMA INTERPRISES,676500.0,540000.0,5,5.125,"RF-4, RF-6",30,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2018_HPIPH_21428_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION THURAL,RAMESH PARIHAR,1627629.3,1175664.0,7,30.0,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_HPIPH_14668_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION,M S NARINDER KUMAR THAKUR,1171000.0,1119060.0,4,22.75,NONE,0,LOW_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
CEN-CE-2021-01009,CENTRAL,DEFENCE RESEARCH DEVELOPMENT ORG,SHREE BALAJI ENTERPRISE,751864.07,556936.35,2,14.0,"RF-5, RF-6",35,HIGH_RISK,SMALL (<10L),CENTRAL_CPPP
2018_HPIPH_22389_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,SADEEP KUMAR,2584957.0,1590000.0,8,22.75,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2018_PWD_19808_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER MANDI DIVISION NO II HIMACHAL PRADESH PUBLIC WORKS DEPARTMENT MANDI,M S NAWAL KISHORE AND SONS,5452524.0,5508420.0,2,6.708333333333333,"RF-4, RF-6",30,HIGH_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
2020_HPIPH_34744_2,HIMACHAL PRADESH,EXECUTIVE ENGINEER,HYDRAULIC ENGINEERING COMPANY,5945255.0,3589806.0,4,13.75,"RF-5, RF-6",35,HIGH_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
2018_HPIPH_22256_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVN NO 1 UNA HP,ABHISHEK DHIMAN,1537803.0,1812151.0,7,21.08333333333333,NONE,0,LOW_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
MAH-MA-2021-01157,MAHARASHTRA,MSEDCL POWER DISTRIBUTION,ZENITH INFRASTRUCTURE PROJECTS,5028922.83,4930316.5,1,6.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,LARGE (50L-5Cr),MAHARASHTRA
2019_HPIPH_27745_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION THURAL,KUMERCHAND,1814618.53,1338708.0,3,12.0,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
CEN-CE-2021-01020,CENTRAL,MINISTRY OF HEALTH FAMILY WELFARE,KNR CONSTRUCTION,252591542.04,265885833.72,1,4.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,MEGA (>5Cr),CENTRAL_CPPP
KAR-KA-2021-01151,KARNATAKA,KARNATAKA PUBLIC WORKS PORTS INLAND WATER,SHREE BALAJI ENTERPRISE,24196299.36,22403980.89,3,30.0,RF-6,15,MEDIUM_RISK,LARGE (50L-5Cr),KARNATAKA
UTT-UT-2021-01085,UTTAR PRADESH,NOIDA INDUSTRIAL DEVELOPMENT AUTH,VANGUARD POWER SERVICES,312531737.0,231504990.37,2,4.0,"RF-4, RF-5, RF-6",50,HIGH_RISK,MEGA (>5Cr),UTTAR_PRADESH
UTT-UT-2021-01077,UTTAR PRADESH,UTTAR PRADESH PUBLIC WORKS DEPARTMENT,BHARAT DIAGNOSTIC SYSTEMS,6716212.73,4974972.39,1,21.0,"RF-1, RF-5, RF-6",60,HIGH_RISK,LARGE (50L-5Cr),UTTAR_PRADESH
UTT-UT-2021-01033,UTTAR PRADESH,UTTAR PRADESH PUBLIC WORKS DEPARTMENT,VANGUARD POWER SERVICES,20273141.71,15017142.01,5,6.0,"RF-4, RF-5, RF-6",50,HIGH_RISK,LARGE (50L-5Cr),UTTAR_PRADESH
2017_PWD_18216_1,HIMACHAL PRADESH,E E HAMIRPUR,SURESH THAKUR GOV CONT,1108127.0,1539119.0,4,7.6875,RF-2,25,MEDIUM_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2016_HPIPH_13183_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,GREWALSUBMERSIBLE AND ELECTRICAL SERVICE,1406020.0,1051029.0,4,23.0,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_PWD_15289_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER CHAMBA DIVISION HIMACHAL PRADESH PUBLIC WORKS DEPARTMENT CHAMBA,RAJ SINGH GOVERNMENT CONTRACTOR,828550.0,611329.0,2,20.6875,"RF-5, RF-6",35,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2018_PWD_20138_1-403,HIMACHAL PRADESH,EXECUTIVE ENGINEER,VINOD KUMAR,2057697.0,1389385.0,2,12.0,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2018_PWD_20117_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER UNA DIVISION HIMACHAL PRADESH PUBLIC WORKS DEPARTMENT UNA,M S SATISH KUMAR SHARMA,1909394.0,2090122.0,4,6.270833333333333,"RF-4, RF-6",30,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
MAH-MA-2021-01220,MAHARASHTRA,WATER RESOURCES DEPARTMENT MAHARASHTRA,AHLUWALIA CONTRACTS INDIA LIMITED,4390553.23,4989265.03,1,4.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,MEDIUM (10L-50L),MAHARASHTRA
2017_UDDHP_15849_1,HIMACHAL PRADESH,EXECUTIVE OFFICER MC SOLAN,PARMINDER DHIMAN,319453.0,182929.0,3,7.083333333333333,"RF-5, RF-6",35,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2017_PWD_15710_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,NEW INDIA CONTRACTOR AND DEVELOPERS PRIVATE LIMITED,4669538.0,3762042.0,2,5.041666666666667,"RF-3, RF-4, RF-6",50,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
MAH-MA-2021-01053,MAHARASHTRA,MAHARASHTRA PUBLIC WORKS DEPARTMENT,SHARMA ENGINEERING WORKS,110178644.27,125203004.85,1,30.0,"RF-1, RF-6",40,HIGH_RISK,MEGA (>5Cr),MAHARASHTRA
2017_PWD_14679_1-1450,HIMACHAL PRADESH,EXECUTIVE ENGINEER,ASHWANI KUMAR GOVERNMENT CONTRACTOR,1176241.0,1539119.0,8,6.6875,"RF-4, RF-6",30,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_UDDHP_17262_1-3790,HIMACHAL PRADESH,EXECUTIVE ENGINEER,ASHOK KUMAR,1516685.0,730360.0,2,11.75,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_HPIPH_17745_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION BA,RAJESH ENGINEERING SERVICES,718841.0,540000.0,5,5.125,"RF-4, RF-5",35,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2018_HPIPH_19208_1-2917,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION BARSAR,SS ENGINEERING WORKS,1178386.4,1080755.0,4,6.083333333333333,"RF-4, RF-6",30,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2018_FDC_19809_1,HIMACHAL PRADESH,DIVISIONAL MANAGER,HEMRAJ VERMA,1276483.0,1136177.0,1,6.166666666666667,"RF-1, RF-4, RF-6",55,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2018_HPIPH_21007_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,GOPAL MAHAJAN,2015634.0,1772266.0,7,21.75,RF-6,15,MEDIUM_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_PWD_18189_2,HIMACHAL PRADESH,EXECUTIVE ENGINEER KALPA DIVISION,DOLA RAM,7137834.0,4406039.0,1,17.12847222222222,"RF-1, RF-5",45,HIGH_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
2017_UDDHP_18297_1,HIMACHAL PRADESH,EXECUTIVE OFFICER MC SOLAN,YAJU PANT,298985.0,228300.0,3,5.333333333333333,"RF-4, RF-5, RF-6",50,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2018_MC_19610_12,HIMACHAL PRADESH,EXECUTIVE ENGINEER ROADS AND BUILDINGS MUNICIPAL CORPORATION SHIMLA,HUKAM SINGH,1995165.0,1378000.0,3,6.6875,"RF-4, RF-5",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
MAH-MA-2021-01205,MAHARASHTRA,MMRDA URBAN TRANSPORT,BHARAT DIAGNOSTIC SYSTEMS,12423966.31,10803448.96,1,4.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,LARGE (50L-5Cr),MAHARASHTRA
2017_PWD_18050_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,RAM LAL SHARMA,9311226.0,7465165.0,1,7.083333333333333,"RF-1, RF-6",40,HIGH_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
RAJ-RA-2021-01133,RAJASTHAN,JAIPUR DEVELOPMENT AUTHORITY,TATA PROJECTS LIMITED,4706151.54,4953843.73,4,6.0,"RF-3, RF-4, RF-6",50,HIGH_RISK,MEDIUM (10L-50L),RAJASTHAN
2019_PWD_30934_2,HIMACHAL PRADESH,EXECUTIVE ENGINEER,VIJAY PAL,6828723.0,4576493.0,10,5.708333333333333,"RF-4, RF-5",35,HIGH_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
