contract_number,title,specification,department,vendor,vendor_product_description,estimate_value,award_value,tender_start,tender_end,contract_date,bidder_count,procurement_category,location,provenance_ocid,provenance_source
2017_PWD_15938_8,Annual maintenance of PMGSY roads for the year 2017-18 in respect of HP PWD Division Dharamshala Distt. Kangra H.P,SUB HEAD Periodic maintenance of (i) Sidhbari to Uperli Barol road Km 5/00 to 6/00 and (ii) Link road from Darnu to Chohla Km 0/00 to 0/700),Executive Engineer,Singh,"Supplier of goods, civil works, and medical equipment for Singh",1274559.0,1590176.0,2017-04-20 15:30:00,2017-05-08 11:00:00,2017-04-20,2,works,Dharamshala,ocds-kjhdrl-2017_PWD_15938_8,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2017_PWD_17224_1,Construction of link road from Saruin Khas to Village Rehada.,Construction of link road from Saruin Khas to Village Rehada,Executive Engineer,MAST RAM,"Supplier of goods, civil works, and medical equipment for MAST RAM",1507464.0,1748992.0,2017-07-12 18:50:00,2017-07-20 10:30:00,2017-07-12,9,works,Saruin Khas,ocds-kjhdrl-2017_PWD_17224_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2016_HPIPH_13754_1,FIS Galma Kotlu and Nalwari in gP Galma in Tehsil Balh District Mandi HP,Construction of Pucca main channels RD 47 to 135 and retaining wall RD 47 to 78,Executive Engineer,BHUP CHAND THAKUR,"Supplier of goods, civil works, and medical equipment for BHUP CHAND THAKUR",1236737.0,1362239.0,2016-11-26 10:00:00,2016-12-22 17:00:00,2016-11-26,6,works,Baggi,ocds-kjhdrl-2016_HPIPH_13754_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2016_PWD_13357_1,Construction of additional accommodation (2room) in Govt. High School at Chalola in Distt. Una(HP).,Construction of additional accommodation (2room) in Govt. High School at Chalola in Distt. Una(HP).,Executive Engineer Bangana,Kishori Lal Sharma,"Supplier of goods, civil works, and medical equipment for Kishori Lal Sharma",2195756.0,2064212.0,2016-10-20 13:00:00,2016-11-15 17:00:00,2016-10-20,3,works,Chalola,ocds-kjhdrl-2016_PWD_13357_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2017_PWD_15742_11,Periodical Maintenance of Palion to Majri Road under AMP for the year 2017-2018,Providing and Laying 25 mm thick Bituminous Concrete in Km 6/0 to 7/0 including construction of 100 meter PCC Side Drain,Executive Engineer,NEW INDIA CONTRACTORS AND DEVELOPERS PRIVATE LIMITED,"Supplier of goods, civil works, and medical equipment for NEW INDIA CONTRACTORS AND DEVELOPERS PRIVATE LIMITED",715884.0,908348.0,2017-04-07 14:00:00,2017-04-21 10:00:00,2017-04-07,2,works,Nahan,ocds-kjhdrl-2017_PWD_15742_11,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2017_PWD_15742_11-16,Periodical Maintenance of Palion to Majri Road under AMP for the year 2017-2018,Providing and Laying 25 mm thick Bituminous Concrete in Km 6/0 to 7/0 including construction of 100 meter PCC Side Drain,Executive Engineer,NEW INDIA CONTRACTORS AND DEVELOPERS PRIVATE LIMITED,"Supplier of goods, civil works, and medical equipment for NEW INDIA CONTRACTORS AND DEVELOPERS PRIVATE LIMITED",715884.0,908348.0,2017-04-07 14:00:00,2017-04-21 10:00:00,2017-04-07,2,works,Nahan,ocds-kjhdrl-2017_PWD_15742_11,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2018_PWD_20535_1,Providing 100 KVA D.G. set in CHC building at Dhami Distt. Shimla,Prov. DG Set,XEN Electrical Division No-1 SHIMLA,Kalra Hardware and Electric Store,"Supplier of goods, civil works, and medical equipment for Kalra Hardware and Electric Store",1574042.0,1536018.0,2018-04-07 17:30:00,2018-05-01 17:00:00,2018-04-07,3,works,SHIMLA,ocds-kjhdrl-2018_PWD_20535_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2016_PWD_12599_1,Construction of 50 bedded Civil Hospital at Kumarsain Tehsil Kumarsain District Shimla HP SH Building Portion Development of Site Water Supply and Sanitary Installation C O Septic Tank and CO Rain Harvesting Tank,"Construction of 50 bedded Civil Hospital at Kumarsain Tehsil Kumarsain District Shimla HP (SH Building Portion, Development ofSite Water Supply and Sanitary Installation C O Septic Tank and C O Rain Harvesting Tank",Executive Engineer,Ranjit Singh Kanwar,"Supplier of goods, civil works, and medical equipment for Ranjit Singh Kanwar",32596067.0,40621073.0,2016-08-04 17:30:00,2016-08-24 18:00:00,2016-08-04,2,works,Kumarsain,ocds-kjhdrl-2016_PWD_12599_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2017_BBNDA_18403_1,C/o road from village katal-Baluana to main road Barotiwala.,C/o road from village katal-Baluana to main road Barotiwala.,EE BBNDA BADDI,RAJAN,"Supplier of goods, civil works, and medical equipment for RAJAN",5499474.0,7234203.0,2017-09-26 11:30:00,2017-10-05 17:00:00,2017-09-26,5,works,BADDI,ocds-kjhdrl-2017_BBNDA_18403_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2020_HPIPH_33909_1,"Augmentation and improvement of WSS Amboa, Saloh Beri, Raipur Marwari and Dangoh Khurd in Tehsil Ghanari Distt. Una (HP)","Laying, Jointing and Testing of GMS pipe in Rising main, Supply and errection of pumping machinery including all accessories for WSS Amboa, Saloh Beri, Raipur Marwari and Dangoh Khurd",Executive Engineer,Dinesh Kumar,"Supplier of goods, civil works, and medical equipment for Dinesh Kumar",3799688.0,3542278.0,2020-01-08 17:00:00,2020-01-24 11:00:00,2020-01-08,6,works,Works,ocds-kjhdrl-2020_HPIPH_33909_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2019_PWD_32510_1,Construction of new 120 Nos Type-III Qtrs for Nurses staff in Dr. R.P. Govt. Medical College at Tanda in Distt Kangra (HP) Deposit Work,"Construction of 72 Nos. Type-III Qtrs (12 Nos. block) civil work including water Supply AND Sanitary Installation, Rain Water Harvesting System and Septic Tank etcetera",Executive Engineer,M/s Kulwinder Singh and Co,"Supplier of goods, civil works, and medical equipment for M/s Kulwinder Singh and Co",130802790.0,130470133.0,2019-11-08 17:30:00,2019-11-28 17:00:00,2019-11-08,6,works,TANDA,ocds-kjhdrl-2019_PWD_32510_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2019_HPIPH_32007_1,Operation and maintenance of sewerage scheme New Bilaspur Town in Tehsil Sadar District Bilaspur (H.P.) for two years).,Operation and maintenance of sewerage scheme New Bilaspur Town in Tehsil Sadar District Bilaspur (H.P.) for two years).,Executive Engineer,KISHORI LAL CONTRACTOR,"Supplier of goods, civil works, and medical equipment for KISHORI LAL CONTRACTOR",3592500.0,2938995.0,2019-10-07 17:00:00,2019-10-16 11:00:00,2019-10-07,6,works,IPH Sub Division Bilaspur,ocds-kjhdrl-2019_HPIPH_32007_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2019_HPIPH_32007_1-23,Operation and maintenance of sewerage scheme New Bilaspur Town in Tehsil Sadar District Bilaspur (H.P.) for two years).,Operation and maintenance of sewerage scheme New Bilaspur Town in Tehsil Sadar District Bilaspur (H.P.) for two years).,Executive Engineer,Samjeev Malhotra,"Supplier of goods, civil works, and medical equipment for Samjeev Malhotra",3592500.0,3592500.0,2019-10-07 17:00:00,2019-10-16 11:00:00,2019-10-07,6,works,IPH Sub Division Bilaspur,ocds-kjhdrl-2019_HPIPH_32007_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2019_HPIPH_32007_1-24,Operation and maintenance of sewerage scheme New Bilaspur Town in Tehsil Sadar District Bilaspur (H.P.) for two years).,Operation and maintenance of sewerage scheme New Bilaspur Town in Tehsil Sadar District Bilaspur (H.P.) for two years).,Executive Engineer,RATTAN LAL,"Supplier of goods, civil works, and medical equipment for RATTAN LAL",3592500.0,3592500.0,2019-10-07 17:00:00,2019-10-16 11:00:00,2019-10-07,6,works,IPH Sub Division Bilaspur,ocds-kjhdrl-2019_HPIPH_32007_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2019_HPIPH_32007_1-25,Operation and maintenance of sewerage scheme New Bilaspur Town in Tehsil Sadar District Bilaspur (H.P.) for two years).,Operation and maintenance of sewerage scheme New Bilaspur Town in Tehsil Sadar District Bilaspur (H.P.) for two years).,Executive Engineer,Om Santi Om Drillers,"Supplier of goods, civil works, and medical equipment for Om Santi Om Drillers",3592500.0,3592500.0,2019-10-07 17:00:00,2019-10-16 11:00:00,2019-10-07,6,works,IPH Sub Division Bilaspur,ocds-kjhdrl-2019_HPIPH_32007_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
